category,amount,date,description
Shopping - Clothing & Fashion,-50.94,21/06/2016,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas
Home - Rent,-4.41,8/07/2016,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Work & Study - Books & Stationery,-6.50,4/10/2014,Phasellus in felis. Donec semper sapien a libero. Nam dui.
Groceries - Supermarkets,-19.56,15/07/2016,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lec
Household Utilities - Water,-3.78,30/08/2016,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euis"
Groceries - Supermarkets,-63.59,10/06/2014,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices ma
Shopping - Clothing & Fashion,-101.99,4/09/2016,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibu
Food & Drinks - Cafes & Coffee,-3.10,30/10/2015,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci
Home - Services & Trades,-184.97,21/03/2017,Integer tincidunt ante vel ipsum.
Shopping - Other Shopping,-60.55,31/12/2015,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu mass"
Shopping - Sports & Outdoor,-23.48,8/03/2015,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa qu
Miscellaneous - Other,-51.09,19/09/2017,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus"
Banking & Finance - Loan Repayments,-18.53,25/02/2016,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabit
Food & Drinks - Other Food & Drinks,-329.97,19/07/2015,Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis
Shopping - Sports & Outdoor,-1.68,20/02/2014,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus ur
Household Utilities - Phone & Internet,-11.37,2/03/2014,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
Shopping - Other Shopping,-328.79,31/07/2017,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum "
Food & Drinks - Other Food & Drinks,-56.03,7/02/2015,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi 
Household Utilities - Electricity & Gas,-113.62,20/09/2017,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Mor
Household Utilities - Other Household Utilities,-23.71,2/05/2015,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
Shopping - Clothing & Fashion,-11.88,12/03/2017,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, laci"
Food & Drinks - Restaurants,-169.34,1/02/2016,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce la
Food & Drinks - Bars & Pubs,-219.48,13/01/2014,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus
Insurance - Car Insurance,-183.89,26/06/2015,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis"
Household Utilities - Other Household Utilities,-49.77,25/04/2015,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tin"
Food & Drinks - Other Food & Drinks,-116.73,23/01/2015,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi
Entertainment - Events,-1.60,19/08/2017,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id "
Transport - Vehicle Maintenance,-124.42,8/11/2014,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet s"
Food & Drinks - Other Food & Drinks,-100.62,11/06/2017,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac
Shopping - Sports & Outdoor,-126.04,16/07/2016,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula ne"
Health & Beauty - Eyewear,-11.32,18/06/2014,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien u"
Health & Beauty - Gyms & Fitness,-183.11,25/02/2015,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non veli
Shopping - Sports & Outdoor,-9.56,18/11/2014,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Food & Drinks - Bars & Pubs,-99.36,4/02/2015,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Mo"
Shopping - Clothing & Fashion,-122.07,7/12/2015,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse plate
Food & Drinks - Other Food & Drinks,-28.23,9/01/2014,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa qu
Shopping - Homewares,-149.06,18/02/2014,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
Entertainment - Events,-46.44,3/11/2016,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue qua
Shopping - Clothing & Fashion,-60.57,7/05/2016,Nulla facilisi.
Insurance - Car Insurance,-90.28,7/07/2017,Aliquam sit amet diam in magna bibendum imperdiet.
Food & Drinks - Bars & Pubs,-110.46,2/11/2017,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. "
Entertainment - Events,-18.82,6/05/2017,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
Food & Drinks - Restaurants,-108.11,9/03/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharet
Insurance - Car Insurance,-26.93,25/02/2016,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus a
Shopping - Homewares,-88.60,16/06/2014,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum m"
Miscellaneous - Other,-12.15,20/06/2015,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu mass"
Banking & Finance - ATM Withdrawals,-224.64,12/12/2016,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in 
Work & Study - Course Fees,-11.02,3/01/2015,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Mor
Shopping - Sports & Outdoor,-59.40,9/04/2014,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis j
Shopping - Sports & Outdoor,-14.27,23/11/2017,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursu"
Shopping - Other Shopping,-43.42,31/01/2014,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse ac
Health & Beauty - Doctors & Dentist,-22.19,6/05/2014,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magn
Shopping - Clothing & Fashion,-255.86,25/05/2014,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rh
Health & Beauty - Doctors & Dentist,-1.17,2/03/2015,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa qu
Work & Study - Other Work & Study,-29.11,19/02/2016,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu mass"
Work & Study - Books & Stationery,-88.60,9/08/2016,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidu"
Home - Services & Trades,-3.79,24/02/2014,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, t"
Food & Drinks - Other Food & Drinks,-113.70,31/07/2014,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamu
Work & Study - News & Subscriptions,-50.33,8/09/2014,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi e"
Health & Beauty - Eyewear,-59.28,20/06/2017,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sag"
Work & Study - News & Subscriptions,-98.44,6/03/2017,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
Work & Study - Other Work & Study,-16.88,16/03/2016,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices ma
Shopping - Other Shopping,-100.57,21/11/2014,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
Health & Beauty - Gyms & Fitness,-129.40,25/09/2016,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis."
Holiday & Travel - Vehicle Rentals,-17.50,30/05/2014,Aliquam erat volutpat.
Health & Beauty - Gyms & Fitness,-47.81,10/02/2017,Nulla justo.
Entertainment - Media Subscriptions,-278.58,1/05/2015,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, "
Transport - Fuel,-172.97,26/02/2015,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellent"
Food & Drinks - Bars & Pubs,-88.76,11/11/2014,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum q"
Food & Drinks - Bars & Pubs,-78.29,12/07/2016,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum ju"
Food & Drinks - Restaurants,-8.22,3/02/2017,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nu"
Banking & Finance - ATM Withdrawals,-6.11,18/05/2015,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in f"
Insurance - Car Insurance,-0.81,31/03/2017,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non 
Holiday & Travel - Other Travel,-317.50,17/02/2015,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
Food & Drinks - Takeaways,-4.24,8/07/2014,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue qua
Banking & Finance - Loan Repayments,-26.09,3/02/2017,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nu
Holiday & Travel - Flights,-130.45,10/03/2015,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla nequ
Transport - Taxi & Rideshare,-29.14,3/05/2015,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultric"
Miscellaneous - Other,-177.59,4/12/2015,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi
Shopping - Homewares,-44.44,30/12/2017,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id,"
Banking & Finance - Loan Repayments,-208.34,31/08/2015,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamu
Insurance - Car Insurance,-224.16,26/05/2014,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursu"
Miscellaneous - Other,-18.13,16/11/2015,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus ur
Food & Drinks - Cafes & Coffee,-32.63,11/08/2016,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.
Holiday & Travel - Vehicle Rentals,-94.36,16/11/2015,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet s"
Work & Study - Books & Stationery,-125.07,21/02/2016,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat i"
Insurance - Car Insurance,-181.13,3/07/2016,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursu"
Holiday & Travel - Flights,-76.87,12/08/2014,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lec
Shopping - Clothing & Fashion,-49.43,13/02/2014,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum "
Groceries - Supermarkets,-87.30,5/09/2016,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc"
Holiday & Travel - Other Travel,-7.99,16/10/2014,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in f"
Shopping - Other Shopping,-25.32,7/12/2016,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus
Banking & Finance - Loan Repayments,-75.85,17/03/2016,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
Shopping - Sports & Outdoor,-133.57,29/07/2015,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
Banking & Finance - Loan Repayments,-33.92,18/04/2014,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestib"
Household Utilities - Electricity & Gas,-51.63,10/10/2017,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
Shopping - Homewares,-31.91,6/03/2016,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit"
Household Utilities - Electricity & Gas,-156.10,12/08/2016,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac
Home - Services & Trades,-92.41,12/01/2016,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. N
Holiday & Travel - Flights,-47.10,30/11/2017,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac
Insurance - Car Insurance,-19.10,22/12/2017,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices a
Food & Drinks - Restaurants,-234.53,6/07/2016,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
Groceries - Liquor Stores,-45.92,29/01/2014,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
Insurance - Car Insurance,-90.00,2/09/2016,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus
Food & Drinks - Other Food & Drinks,-102.49,4/05/2015,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus a
Insurance - Car Insurance,-59.87,13/02/2017,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum q"
Shopping - Electronics & Appliances,-287.46,31/01/2016,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante "
Household Utilities - Water,-70.57,17/09/2015,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
Transport - Vehicle Maintenance,-198.96,27/02/2016,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum"
Transport - Public Transport,-171.55,27/04/2014,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien u"
Entertainment - Events,-231.96,6/05/2016,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus ur
Food & Drinks - Other Food & Drinks,-46.45,7/09/2017,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. F"
Home - Rent,-24.35,3/07/2017,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, le"
Food & Drinks - Cafes & Coffee,-2.01,30/08/2016,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu 
Holiday & Travel - Hotels & Accomodation,-244.01,18/05/2016,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum m"
Home - Services & Trades,-101.54,6/04/2015,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit"
Miscellaneous - Other,-5.70,29/07/2017,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non 
Shopping - Other Shopping,-10.68,11/12/2014,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse ac
Household Utilities - Other Household Utilities,-60.75,6/05/2017,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tinci
Home - Services & Trades,-58.05,13/04/2015,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tinci
Work & Study - News & Subscriptions,-252.55,20/09/2017,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci
Holiday & Travel - Flights,-0.66,29/10/2017,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl"
Work & Study - Other Work & Study,-55.55,20/11/2017,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vul
Transport - Public Transport,-26.23,26/04/2016,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at,"
Household Utilities - Water,-98.19,23/04/2017,Phasellus sit amet erat.
Entertainment - Events,-44.71,3/07/2017,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nu
Health & Beauty - Eyewear,-266.53,5/01/2018,Praesent lectus.
Transport - Fuel,-103.23,28/08/2017,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet s"
Food & Drinks - Other Food & Drinks,-27.73,2/01/2018,Nunc purus.
Home - Services & Trades,-233.35,6/01/2014,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl"
Work & Study - Books & Stationery,-86.65,1/04/2016,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu mass"
Food & Drinks - Takeaways,-25.25,12/02/2015,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentes"
Work & Study - Course Fees,-19.17,19/07/2014,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi e"
Holiday & Travel - Flights,-193.64,7/10/2014,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa
Food & Drinks - Other Food & Drinks,-62.20,2/08/2015,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac dia"
Holiday & Travel - Vehicle Rentals,-46.03,28/01/2017,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. N
Holiday & Travel - Vehicle Rentals,-211.44,9/12/2016,Sed accumsan felis.
Shopping - Sports & Outdoor,-13.58,12/09/2014,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in f"
Home - Rent,-32.24,6/06/2015,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue
Home - Services & Trades,-30.33,22/04/2017,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nul"
Shopping - Clothing & Fashion,-48.14,19/09/2016,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamu
Insurance - Car Insurance,-5.36,12/06/2014,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, t"
Health & Beauty - Eyewear,-324.55,31/08/2015,Nulla suscipit ligula in lacus.
Transport - Vehicle Maintenance,-20.95,2/04/2015,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commod
Work & Study - News & Subscriptions,-45.91,10/07/2016,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero qu"
Banking & Finance - ATM Withdrawals,-314.23,10/12/2014,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien "
Holiday & Travel - Hotels & Accomodation,-148.93,14/08/2017,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci
Home - Rent,-3.25,23/11/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibu
Health & Beauty - Eyewear,-19.15,15/02/2017,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, na"
Holiday & Travel - Hotels & Accomodation,-75.68,29/12/2017,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, e"
Work & Study - Course Fees,-15.08,3/06/2014,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pr"
Transport - Public Transport,-90.84,28/12/2016,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac
Work & Study - Other Work & Study,-48.05,14/11/2017,Suspendisse potenti.
Transport - Public Transport,-146.91,26/02/2016,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viver
Transport - Taxi & Rideshare,-2.40,27/10/2017,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien u"
Transport - Taxi & Rideshare,-48.29,12/05/2015,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla"
Shopping - Sports & Outdoor,-206.02,29/11/2016,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac dia"
Work & Study - Books & Stationery,-70.54,26/06/2017,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sag"
Shopping - Electronics & Appliances,-129.91,10/04/2014,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, na"
Work & Study - Other Work & Study,-45.15,5/02/2017,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id,"
Food & Drinks - Restaurants,-118.04,16/09/2014,In sagittis dui vel nisl. Duis ac nibh.
Shopping - Sports & Outdoor,-30.19,2/11/2014,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna v
Transport - Taxi & Rideshare,-108.64,28/07/2017,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.
Work & Study - News & Subscriptions,-8.59,19/04/2014,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem "
Banking & Finance - Loan Repayments,-9.06,20/09/2015,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id,"
Insurance - Car Insurance,-9.97,3/01/2015,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante "
Groceries - Liquor Stores,-11.34,20/09/2017,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Ves"
Banking & Finance - Loan Repayments,-38.27,4/03/2017,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem"
Transport - Vehicle Maintenance,-266.69,31/01/2016,Sed ante.
Household Utilities - Other Household Utilities,-21.99,23/10/2017,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sag"
Health & Beauty - Gyms & Fitness,-99.74,12/03/2016,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac
Food & Drinks - Cafes & Coffee,-321.94,1/07/2015,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, t"
Food & Drinks - Cafes & Coffee,-3.84,11/09/2016,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem"
Banking & Finance - Loan Repayments,-40.56,24/06/2017,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce la
Food & Drinks - Restaurants,-117.01,14/07/2015,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi
Miscellaneous - Other,-155.79,12/05/2017,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lec
Shopping - Homewares,-30.08,9/10/2017,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestib
Health & Beauty - Eyewear,-22.68,11/03/2016,Morbi quis tortor id nulla ultrices aliquet.
Household Utilities - Water,-65.18,27/02/2017,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend "
Work & Study - Other Work & Study,-10.65,23/10/2014,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci
Holiday & Travel - Vehicle Rentals,-157.34,19/12/2017,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus a
Transport - Vehicle Maintenance,-66.51,17/01/2018,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cu
Entertainment - Events,-204.81,2/07/2015,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id "
Holiday & Travel - Vehicle Rentals,-157.07,17/04/2016,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibu
Household Utilities - Water,-186.47,28/01/2017,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce la
Miscellaneous - Other,-232.98,6/09/2016,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nul"
Health & Beauty - Eyewear,-9.90,30/09/2015,Aenean sit amet justo. Morbi ut odio.
Groceries - Liquor Stores,-97.12,15/05/2016,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea 
Work & Study - News & Subscriptions,-29.52,8/04/2014,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea 
Entertainment - Media Subscriptions,-160.04,7/12/2017,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobo"
Transport - Public Transport,-45.64,20/06/2017,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultric"
Miscellaneous - Other,-5.41,15/12/2015,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestib"
